ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
54,391.89,68.5,530.84,33.31,20.41,82.29689574907042
55,456.09,70.77,512.59,33.38,18.13,79.29008699817987
56,437.62,67.61,474.2,25.86,18.57,76.35490794915442
57,466.98,65.76,534.49,38.83,18.21,81.58250120644642
58,485.25,67.79,516.33,28.68,20.34,81.38005947177655
59,537.59,65.44,475.0,31.49,19.03,78.84969715957541
60,444.27,62.92,499.52,36.85,20.55,82.08778240246605
61,330.22,66.92,582.33,25.31,21.83,84.34974830789886
62,420.54,65.19,364.76,26.38,19.98,72.75366350430679
63,540.08,68.4,571.02,31.89,20.45,85.19172514162443
64,595.71,69.46,465.41,45.9,19.55,82.29448024022292
65,476.53,75.65,430.41,31.56,19.64,76.95459807687553
66,434.93,68.88,521.83,23.59,21.13,81.16294958714055
67,373.3,67.41,476.76,18.92,20.22,76.53046637728494
68,451.94,65.02,475.38,28.72,21.1,80.05517296780377
69,504.49,64.86,444.47,48.62,18.19,79.4877762359464
70,512.86,71.0,478.32,31.0,16.27,75.4725396966526
71,447.31,71.15,493.16,23.61,20.76,79.46707289534348
72,394.76,71.24,426.7,24.42,20.27,75.45310775022179
73,341.71,64.31,508.85,26.34,23.66,83.28856609715467
74,433.73,67.77,499.65,26.88,23.45,83.46054091708206
75,378.26,55.01,498.63,40.48,20.48,82.13399424505278
76,357.03,58.56,567.36,40.73,20.07,84.80523761592707
77,436.45,66.99,466.17,45.14,17.69,78.6998166462913
78,353.34,65.32,480.15,32.37,20.16,79.08845126926667
79,525.27,55.87,450.95,30.41,19.04,77.403101250393
80,523.32,64.91,440.55,32.51,17.71,75.74175215830914
81,377.37,62.51,471.43,21.51,19.65,76.14732870755188
82,433.7,70.68,452.34,32.45,18.46,76.44016477454636
83,454.21,60.65,581.39,33.28,18.24,82.66423330941511
84,321.04,65.06,567.23,35.07,20.4,83.78566098966331
85,541.71,72.9,464.71,30.86,17.52,76.49823279415321
86,530.04,73.96,474.97,39.19,18.29,79.42403346190275
87,448.45,60.9,533.43,31.93,19.29,81.29851855276605
88,459.17,75.15,520.53,30.9,21.43,83.08006095843271
89,503.98,63.29,539.77,26.56,20.74,82.70521610468869
90,384.22,72.32,482.21,29.79,19.91,78.64108829029894
91,435.11,57.89,461.84,38.11,23.39,83.79452473091405
92,574.64,62.62,413.03,36.55,17.19,75.02867130567566
93,391.52,69.33,474.28,28.66,19.19,77.25707747374236
94,575.74,69.49,535.75,26.81,18.6,80.63796914793184
95,557.9,66.56,544.17,36.41,22.36,87.1814993927066
96,334.6,70.09,482.17,30.02,18.97,77.1763020321976
97,498.29,70.65,459.74,29.51,19.49,77.95378821689505
98,501.62,68.71,511.43,31.34,19.82,81.19019250800119
99,579.22,66.69,431.93,37.4,19.72,79.10120904581245
100,448.4,66.23,514.71,24.92,19.24,78.97640180555285
101,531.62,71.55,537.24,36.68,18.24,81.85622236164673
102,390.08,58.53,522.9,32.26,22.15,83.739451972638
103,572.36,66.31,514.42,29.06,19.62,81.22993568358211
104,328.96,68.82,494.08,34.0,18.66,78.1125638746883
105,323.69,59.91,479.1,25.45,18.78,75.82445368677301
106,374.45,70.26,458.52,24.34,21.51,78.24326211371704
107,347.77,64.88,541.79,30.14,21.11,82.66005403729795
108,398.15,63.84,489.03,32.1,21.3,81.16220266653858
109,420.39,63.17,487.01,39.41,18.62,79.53286881472434
110,592.96,65.28,546.55,26.76,19.75,82.63272685383782
111,480.26,64.59,560.16,34.92,19.49,83.65180759518982
112,369.64,56.3,473.15,50.34,21.89,84.430727089839
113,471.24,71.37,488.96,34.39,19.72,80.34991490767881
114,381.42,79.34,511.85,28.42,15.85,75.00071933613125
115,442.84,64.37,477.98,34.7,18.25,77.93073859133081
116,323.09,64.88,568.97,39.86,18.7,82.82764574304393
117,569.08,68.89,512.96,31.73,19.26,81.23327447929157
118,369.6,66.19,502.72,26.74,21.83,81.15550873735879
119,421.3,62.97,496.74,33.73,19.55,79.98459357680433
120,535.0,60.27,482.38,34.0,20.97,81.94692240956093
121,465.95,71.55,505.87,22.93,19.77,78.93090741254898
122,430.0,60.6,435.48,36.77,16.43,74.06944232945781
123,422.43,72.76,454.67,38.54,19.72,79.12802119567675
124,453.62,67.26,515.87,24.59,21.18,81.28558705086478
125,414.14,71.06,499.61,32.66,20.74,81.24972227882685
126,432.26,68.92,412.23,23.17,23.46,78.56718497501787
127,359.99,69.22,483.53,29.87,19.63,78.19335753994
128,627.61,60.03,455.89,35.5,19.77,80.32576674462555
129,554.18,62.39,446.78,35.32,19.61,79.06900497049483
130,409.12,76.03,510.27,20.23,17.37,75.33335389997563
131,511.08,69.78,497.96,31.45,17.34,77.73751714973451
132,357.12,66.26,517.37,23.78,22.7,82.19388831441037
133,355.25,65.95,485.35,32.81,20.01,79.26201990688745
134,429.12,60.87,477.85,33.3,20.19,79.81457246726889
135,557.17,73.36,446.39,28.17,19.73,77.81763614930185
136,411.58,66.31,452.23,34.99,20.04,78.60439956988938
137,518.49,79.5,464.97,19.8,19.92,76.97399880725354
138,297.61,62.24,515.2,22.94,22.06,80.68952290005252
139,378.12,66.14,571.08,42.08,18.86,83.99930699039717
140,367.24,59.6,507.72,30.81,21.22,81.45479236704367
141,381.85,61.68,501.83,42.87,19.51,81.64526405307714
142,361.7,65.07,480.62,35.34,18.24,77.50748822233037
143,504.78,69.8,545.63,25.78,18.71,80.45725645972965
144,430.55,56.25,515.5,17.42,21.41,79.9475192798051
145,476.31,65.47,526.97,26.76,19.36,80.2893030567043
146,392.52,69.73,516.43,38.94,20.01,82.24658668192575
147,500.83,64.61,473.07,28.12,19.7,78.58460571867485
148,473.59,78.51,488.88,24.23,21.65,80.64286953302096
149,237.46,66.09,534.56,30.77,19.81,80.01284807206503
150,469.67,66.64,462.93,23.88,18.59,75.7156401535202
151,421.65,73.23,534.66,27.35,21.17,82.44825618072807
152,589.59,67.14,534.84,32.02,19.22,82.45363603921382
153,462.17,63.18,527.97,26.7,19.36,80.20979263838149
154,397.05,71.37,482.76,19.48,19.75,76.56857487670028
155,350.47,65.74,527.29,18.68,21.71,80.45402362494477
156,325.3,75.0,474.86,19.74,22.93,79.38734443808747
157,324.64,77.88,458.95,27.31,20.77,77.56966974164555
158,406.37,62.19,508.18,35.25,21.18,82.61740122058285
159,464.09,66.53,491.26,16.04,19.84,76.95418663336532
160,517.5,71.95,557.98,33.03,20.8,85.0191527834834
161,375.58,69.8,446.9,24.44,19.74,75.64170403295475
162,394.49,64.66,558.34,38.87,21.31,85.77203487401798
163,595.28,64.14,401.43,25.02,23.61,79.92103898855035
164,517.18,71.05,483.34,29.58,19.3,79.02394593561434
165,509.44,58.15,470.36,38.62,20.55,81.57577715090889
166,599.02,54.57,460.97,25.17,20.25,78.87788577169343
167,616.02,71.47,431.14,28.04,22.11,80.33763433321744
168,460.0,61.93,473.12,35.32,20.51,80.61154338264177
169,437.96,75.3,380.53,26.74,20.63,74.48061760041041
170,470.32,63.46,481.21,37.82,23.29,84.83146351957839
171,289.01,71.51,509.97,26.22,20.01,78.60644554584458
172,311.43,59.78,521.93,37.32,19.91,81.4126438059439
173,478.05,63.57,559.05,37.51,19.96,84.63858706304703
174,572.54,64.12,409.65,35.41,21.7,79.91810079878502
175,401.01,71.24,533.44,27.3,17.9,78.37580688553669
176,424.53,74.32,461.45,36.76,18.65,77.86517828183526
177,714.73,69.14,493.07,23.74,18.26,78.73898875314018
178,313.0,75.98,477.77,19.5,21.64,77.86544475424367
179,515.73,66.91,476.76,31.22,18.63,78.23309276907361
180,455.93,61.99,506.51,32.54,22.52,83.98452098934435
181,405.26,68.35,465.03,35.01,18.19,76.99673624426288
182,437.38,73.91,534.46,33.05,19.07,81.21813883155153
183,518.46,71.8,457.88,14.74,20.49,76.31507394164986
184,362.01,65.47,482.52,34.04,20.14,79.57528566104979
185,437.42,57.74,557.37,27.24,23.35,86.19552358108457
186,391.05,72.58,502.93,35.08,19.97,80.78935173221697
187,268.68,48.35,538.89,48.72,19.16,83.22124957755742
188,537.95,68.93,545.48,28.47,21.76,84.8247908984086
189,492.99,62.98,486.97,30.25,19.41,79.2595287325681
190,460.93,67.67,503.34,22.38,18.52,77.195412266629
191,342.44,70.17,495.39,22.3,21.39,79.20003120366354
192,326.93,60.68,462.63,36.4,18.96,77.41779430022476
193,398.36,62.35,415.41,31.33,20.47,76.52990776116965
194,428.97,66.0,518.9,38.26,21.44,84.20651592417617
195,588.64,70.66,488.37,29.48,21.43,82.32634001622324
196,459.19,66.43,538.83,40.0,17.34,80.93397716136775
197,248.83,76.1,586.05,19.04,20.07,80.57201392126395
198,468.52,66.42,445.46,23.26,23.38,80.3712251921277
199,614.16,62.43,522.32,35.35,18.97,82.41517259439911
200,217.19,67.34,523.36,28.92,17.62,76.38262439406367
201,519.98,77.81,518.24,28.17,20.28,81.58459054692958
202,399.42,64.49,531.98,39.22,19.05,81.9728497553191
203,575.34,70.39,492.23,27.76,20.13,80.54046746987129
204,397.58,58.33,524.54,22.02,19.91,79.24905630115457
205,455.85,64.79,520.17,29.89,19.62,80.71503466857119
206,432.86,63.74,474.36,35.54,21.52,81.67688897303731
207,458.33,67.08,486.73,21.79,18.01,75.66868002482485
208,412.26,58.03,496.2,37.32,20.18,81.32599240593177
209,389.6,71.95,544.02,25.93,22.56,83.98574974074577
210,264.39,78.16,532.68,24.76,20.49,79.76573381417666
211,320.38,69.39,565.06,41.61,18.56,82.79703709745132
212,367.05,66.98,465.92,28.93,20.23,77.93151649142469
213,466.24,66.53,466.82,20.63,20.8,77.83016697852187
214,426.86,76.55,616.29,19.7,19.61,83.05674063998214
215,436.68,66.39,424.36,28.67,18.81,74.80208092187462
216,414.93,73.62,517.96,32.82,18.36,79.3703445159276
217,343.02,66.05,464.35,25.1,21.45,78.34278640769791
218,459.88,70.51,489.49,41.08,16.77,78.1298511517806
219,484.72,69.19,486.01,19.88,25.55,84.32144034268634
220,646.06,59.45,524.49,30.94,20.7,83.94628853222537
221,530.31,62.06,467.18,41.45,20.09,81.60827637155816
222,373.3,57.7,446.38,40.37,21.58,80.8713851719676
223,385.11,69.59,531.15,26.15,22.65,83.48410881625668
224,443.84,65.02,492.14,29.6,20.41,80.15069033068607
225,370.16,63.05,458.77,30.69,20.39,78.14784319822127
226,546.99,75.72,506.59,35.77,20.47,82.9585487249104
227,380.07,66.6,519.1,27.08,21.64,81.86549650760716
228,510.21,65.82,489.01,34.67,21.17,82.42620736881946
229,481.11,68.65,470.05,28.52,22.55,81.70110979908993
230,440.4,62.95,414.24,19.05,18.72,72.36352021197644
231,428.76,69.82,479.08,37.53,19.09,79.4069251256791
232,537.59,66.61,462.24,27.22,19.41,77.85227646179177
233,606.0,64.19,475.72,35.37,19.8,81.10448142161528
234,479.8,66.06,452.18,32.45,21.86,80.79743036949895
235,541.99,69.59,524.73,29.07,18.4,80.04428074881238
236,442.35,59.77,417.0,34.76,23.66,81.37765741084186
237,334.37,68.78,512.05,25.04,17.95,76.42871081166513
238,420.81,66.64,499.72,32.45,19.83,80.20086226563139
239,424.1,60.58,478.79,48.42,18.63,80.94463140086111
240,536.02,70.5,504.49,26.3,19.06,79.26325063785217
241,504.98,72.54,521.26,36.25,19.13,81.83683741366059
242,331.37,63.05,523.39,29.65,22.22,82.85525409725291
243,230.06,61.0,494.61,24.3,22.64,80.10264862831082
244,390.65,71.36,581.54,22.67,18.64,80.54719294003426
245,449.46,58.87,517.89,35.99,21.86,84.37453407329266
246,553.59,69.28,566.66,28.73,21.53,85.74326499701121
247,270.15,67.16,507.17,21.52,19.83,77.18887055635633
248,353.68,65.49,533.47,27.47,19.79,80.24115157340387
249,408.68,71.99,557.8,29.48,19.36,81.738718118015
250,559.77,70.85,556.73,27.1,19.5,82.62026117020889
251,434.15,71.86,522.32,25.61,20.33,80.63642235507095
252,314.57,69.58,487.6,39.96,20.69,81.23278952574489
253,377.46,58.64,488.34,28.59,20.59,79.44121192678057
254,556.07,70.83,517.61,31.35,19.95,82.08386443633478
255,584.52,73.81,523.48,24.62,20.79,82.26555871723028
256,410.3,64.98,507.4,14.88,23.6,81.46844868399828
257,433.09,72.3,481.95,27.42,22.24,81.29762454671689
258,406.69,66.25,527.64,32.52,21.55,83.44803554209166
259,344.9,61.41,497.96,38.8,21.32,82.48658489343757
260,460.2,68.13,566.33,28.6,19.93,83.0626467559569
261,393.85,69.37,480.34,14.44,22.69,78.890525714151
262,448.18,58.29,474.53,30.47,18.06,76.75993240774781
263,434.54,59.5,514.54,39.51,21.01,83.7841066999627
264,457.74,60.48,468.0,29.51,21.77,80.69111798889756
265,596.18,61.0,471.4,43.79,20.78,83.61423671512011
266,414.52,59.37,503.81,41.71,20.0,82.35442116705073
267,442.92,57.36,486.15,35.93,22.41,83.44140921104224
268,526.76,66.93,500.62,36.41,17.14,78.72751591007224
269,407.9,59.55,451.39,33.22,22.65,81.24998577403946
270,287.57,72.2,488.35,31.14,20.13,78.66668647938161
271,541.44,72.38,506.08,26.87,20.12,80.7382221963629
272,487.97,64.67,533.74,31.34,20.45,82.88140156142491
273,454.36,68.51,486.63,24.58,19.84,78.32373789361617
274,470.35,65.62,586.57,40.24,18.41,84.60320640515286
275,405.32,64.54,543.51,21.64,20.24,80.52946057382692
276,370.82,58.18,535.54,36.87,21.24,84.01863483225358
277,293.05,62.32,474.16,26.11,20.56,77.55589556901597
278,468.85,80.2,584.84,15.84,16.4,77.37992530115821
279,563.96,68.56,447.96,38.27,18.72,78.73785107126345
280,503.3,68.35,444.71,30.26,20.45,78.55094603504286
281,381.87,64.38,433.84,22.79,21.17,76.42533625118298
282,399.73,65.52,513.91,33.51,21.67,83.07096879540276
283,510.9,70.51,466.61,31.82,19.52,78.87111461323846
284,362.03,74.21,499.52,22.02,18.01,75.53711231137862
285,406.75,60.96,491.64,35.72,20.66,81.31385712727666
286,460.06,63.75,474.93,32.74,20.63,80.33465581242895
287,406.79,66.88,549.64,20.99,15.23,74.8294716461487
288,515.0,71.55,463.39,29.72,20.39,79.3610726458138
289,554.47,62.33,491.55,32.1,20.8,81.97216172365043
290,349.79,71.3,444.22,43.17,19.79,79.02408050898637
291,416.82,62.54,443.67,38.06,20.54,79.42587478348838
292,513.57,62.9,513.24,38.19,20.99,84.08586742603947
293,307.41,68.2,437.61,34.4,20.43,77.39899062312884
294,412.93,64.04,508.25,23.43,22.25,81.61846873537593
295,546.89,65.98,456.67,34.25,20.63,80.46832335151166
296,346.8,67.1,439.82,22.53,18.92,73.73380846521718
297,505.86,58.58,492.65,28.11,21.8,82.02066428274071
298,393.53,75.43,523.27,36.34,23.33,85.96721639442953
299,236.35,64.69,552.64,25.42,21.23,81.48549416300934
300,449.09,64.73,551.04,25.05,18.94,80.38754455113346
301,418.8,62.1,519.86,30.32,20.82,81.88951387724617
302,589.61,64.47,439.54,36.64,19.72,79.40025302032842
303,258.47,62.94,538.89,30.98,20.36,81.07708162732465
304,467.0,66.46,559.27,31.58,19.55,82.91846093162522
305,489.95,68.1,515.87,24.1,21.57,81.94392185576368
306,316.88,69.17,488.31,30.68,22.35,81.41840437495573
307,369.7,77.02,519.5,29.77,21.63,82.31410942156305
308,469.79,60.12,482.82,32.07,21.8,82.03176435180939
309,494.77,70.94,480.85,32.46,21.72,82.12421412623917
310,420.17,73.65,440.93,25.16,17.18,72.85884588769963
311,95.05,70.5,544.69,35.19,21.76,82.4847123911426
312,496.22,70.26,532.63,36.39,18.07,81.09127512844003
313,474.87,64.92,446.38,36.65,21.11,80.42203035911058
314,433.25,70.51,543.55,34.22,19.31,82.12807592034237
315,475.87,75.18,555.13,22.79,20.38,82.04856167081581
316,321.82,67.79,556.93,35.92,18.83,81.62543137911304
317,437.66,58.16,515.19,25.94,21.39,81.63315204853107
318,474.76,62.63,448.13,24.54,17.86,74.32430817222928
319,397.51,72.56,652.55,40.54,17.1,85.67594699036763
320,310.1,66.95,488.29,30.86,20.43,79.1449644951233
321,370.22,61.34,562.73,27.6,21.75,84.09582048267893
322,524.82,75.46,489.42,30.76,20.17,80.62748320999464
323,581.88,68.97,385.11,35.03,19.07,75.664921567648
324,428.06,76.39,464.54,22.11,22.14,79.27102724788105
325,410.17,67.47,480.86,35.31,18.43,78.1317105587938
326,395.91,63.34,461.53,31.04,20.49,78.67541501677088
327,482.81,63.63,534.15,36.74,20.23,83.65653946895026
328,322.37,65.59,452.43,37.82,18.16,76.23345092237027
329,450.65,74.23,555.7,30.86,17.79,80.40936332088017
330,403.55,64.98,457.0,36.39,15.64,73.87839981355904
331,324.58,64.4,489.1,29.01,18.04,76.13643104434843
332,379.16,56.39,520.41,43.48,20.17,83.40259496794428
333,318.21,61.23,505.08,23.58,20.43,78.58826208653082
334,642.67,66.7,498.99,29.42,22.93,85.02169600027202
335,433.13,60.54,541.59,32.84,20.72,83.41788609208261
336,355.45,62.17,546.76,29.01,19.92,81.3427983398719
337,506.96,59.45,436.15,44.72,21.68,82.44283050629267
338,418.36,58.45,485.78,25.31,23.6,82.54279606692924
339,590.26,64.53,503.99,48.82,20.79,86.1148036167319
340,307.56,63.46,526.1,45.23,18.43,81.39023762995257
341,465.52,73.38,437.49,30.21,19.98,77.33713478837109
342,432.21,74.73,525.83,19.77,22.35,82.01571922681009
343,562.84,60.83,443.92,32.99,21.0,80.17839268879302
344,494.91,60.73,431.2,24.33,21.18,77.5352827471954
345,532.07,63.18,476.06,28.33,20.34,79.77406139452674
346,426.22,60.09,499.07,30.71,20.49,80.64807930361184
347,452.8,66.03,533.47,27.58,19.0,80.14524253437537
348,403.18,64.44,455.99,32.71,17.68,75.50080908120472
349,340.97,61.29,457.55,31.72,21.9,79.8240830953357
350,528.42,75.49,533.11,30.94,16.58,78.56360152419127
351,491.85,65.53,431.84,26.6,22.02,78.97002734903985
352,448.38,63.41,437.13,39.02,21.61,80.81466986135032
353,494.36,56.54,500.79,33.22,18.06,78.92660496822492
354,392.54,66.17,494.35,27.44,21.69,80.916410462319
355,430.17,67.99,572.52,26.32,21.22,84.18005086408206
356,480.51,61.09,527.99,16.82,19.76,78.89800110278796
357,416.46,72.67,566.17,25.57,19.07,81.09660552544739
358,382.9,64.17,471.22,30.33,19.04,77.19136439763346
359,329.83,59.27,476.0,33.03,18.42,76.78651823473976
360,329.67,69.36,524.0,25.93,18.57,77.86136959194044
361,520.1,65.09,466.78,31.17,22.18,81.94765321692181
362,336.29,75.93,498.95,37.92,19.92,80.6491078827342
363,298.51,65.6,506.85,18.93,21.33,78.6584075022432
364,552.24,61.75,429.71,25.31,22.14,79.25011889591215
365,608.0,69.23,412.09,27.04,19.36,75.94245139644158
366,565.83,74.6,471.81,23.99,16.95,75.0217914449079
367,416.33,63.91,529.51,27.86,19.87,80.73399991342188
368,414.18,71.9,533.35,32.34,20.72,82.77256063155366
369,507.57,64.54,510.68,30.15,18.55,79.48053500007552
370,454.25,69.63,484.57,27.65,18.83,77.64005827946374
371,420.08,67.17,569.23,30.59,17.7,80.64642676467636
372,435.76,70.59,462.48,14.51,18.87,73.91376211011533
373,427.41,59.39,492.56,42.71,18.48,80.33576152124203
374,458.83,65.17,475.88,34.03,17.78,77.27883429568664
375,528.04,66.94,466.43,24.43,22.27,80.78357857845575
376,268.61,68.05,493.37,22.66,20.46,77.48032168312392
377,494.19,74.83,462.08,36.64,20.71,80.85708099724054
378,517.06,61.62,499.56,30.49,21.48,82.53149195519504
379,391.31,71.72,480.77,24.79,18.39,75.86964601174645
380,494.38,70.29,443.03,26.54,20.02,77.16626465017174
381,404.73,70.39,486.97,22.93,19.85,77.62384052278243
382,410.85,67.63,558.82,32.5,14.96,77.23396275156676
383,364.22,66.13,562.83,28.09,18.98,80.89795996426469
384,447.95,73.26,462.81,27.88,19.12,76.936383757696
385,505.98,66.91,454.61,34.35,21.7,81.31083290830387
386,330.27,67.88,432.49,19.48,18.37,72.00785734215124
387,479.19,68.32,413.28,34.93,19.13,76.22027762441006
388,532.95,72.25,480.65,19.73,21.04,79.13976990207908
389,316.49,70.16,483.13,35.01,17.5,76.32540618046329
390,469.57,75.84,542.75,29.47,18.92,81.00027412751575
391,741.84,67.76,446.12,28.2,16.27,75.25960024388198
392,390.23,70.23,497.86,35.61,20.4,81.14899735057554
393,426.37,64.91,492.65,23.22,20.91,79.3714929003508
394,454.12,58.25,431.13,42.05,20.55,79.92444312801852
395,203.14,61.21,498.55,29.56,21.53,79.79698903689888
396,384.44,68.52,538.6,25.84,20.43,81.1689570080284
397,409.37,57.33,520.93,31.43,23.56,85.29480440187436
398,481.15,59.99,457.59,30.32,23.32,82.36261972608395
399,428.72,67.2,510.11,41.88,17.76,80.1762452972815
400,292.28,65.71,553.17,44.82,18.88,83.00375075442393
401,395.26,68.67,570.49,30.0,19.91,82.98099899957333
402,459.82,59.56,507.04,28.09,18.62,78.59646552662824
403,557.76,70.36,437.08,22.03,18.92,75.22792030997726
404,415.45,63.55,498.69,35.66,18.39,79.0463675517224
405,469.26,62.85,483.0,29.33,23.46,83.4476157778866
406,584.2,57.79,474.05,32.05,21.14,81.76967657379356
407,400.09,73.32,506.2,35.08,17.53,78.1567353595446
408,418.56,57.89,489.29,26.67,22.93,82.1917062229623
409,458.33,65.9,522.88,23.15,23.82,84.47363700145497
410,263.51,70.25,470.52,26.14,19.62,76.0443314194896
411,387.12,62.15,529.71,35.33,18.97,80.90978360930131
412,429.9,64.16,471.81,27.98,22.38,81.061880293164
413,485.29,61.35,425.84,41.3,19.12,78.10260064744753
414,325.1,72.26,477.03,21.87,18.62,74.84962944998836
415,497.27,69.54,482.41,22.6,20.78,79.1884851803428
416,333.18,74.4,592.07,33.03,19.99,84.18919800237
417,461.66,67.35,448.67,28.78,19.98,77.55902733373728
418,510.32,65.63,481.27,30.6,19.34,79.11559985517835
419,374.1,66.93,559.07,27.91,19.07,80.86975851602796
420,306.29,78.42,505.82,27.04,20.83,79.67194229864154
421,493.73,67.91,520.21,32.12,21.53,83.70283060735457
422,284.03,73.11,510.01,22.42,22.13,80.31165664424073
423,443.08,63.09,425.4,42.13,19.31,78.12214346400813
424,330.09,65.08,540.57,23.11,20.56,80.43783986982623
425,409.61,61.32,517.2,28.91,20.92,81.52928961745044
426,353.19,67.47,492.75,23.03,21.85,79.84429191421464
427,354.52,69.43,525.45,27.06,20.44,80.54800200546967
428,358.65,69.87,456.79,34.54,20.58,78.93510104377766
429,448.91,59.06,494.91,36.2,19.79,80.88725773101041
430,556.38,67.67,505.58,31.46,21.69,83.57554343585113
431,393.15,79.34,524.46,24.26,18.49,77.98125436679015
432,383.81,69.79,536.12,28.87,18.94,79.8901073245674
433,333.18,67.19,455.99,24.44,19.5,75.44732740172552
434,523.61,72.49,457.0,17.54,20.04,76.33473528083115
435,538.14,68.93,517.35,31.1,21.45,83.63581551886833
436,467.53,67.4,518.1,31.17,20.73,82.26410311206132
437,413.9,66.99,459.17,37.49,18.5,77.63645194570094
438,471.18,61.91,474.56,38.21,20.92,81.81749362986974
439,387.67,57.6,504.14,32.28,23.46,84.36604960042618
440,508.92,71.72,450.16,28.76,22.54,81.0151267156908
441,375.08,70.47,541.09,28.7,22.64,84.36294045895082
442,279.56,60.16,498.96,27.71,21.76,80.34860843318005
443,644.33,69.11,493.47,23.08,19.56,79.57920528515733
444,348.68,54.74,505.62,26.22,20.58,79.55492764288249
445,471.51,64.38,457.5,36.12,22.56,82.52208323360547
446,318.17,67.54,481.72,26.96,20.91,78.69819157873133
447,502.92,66.86,503.88,28.45,18.2,78.37541931390473
448,344.73,69.33,582.97,25.66,20.71,83.25331276151246
449,512.38,64.85,550.13,28.24,20.16,82.9157939280872
450,396.79,69.0,537.58,28.73,17.9,78.8183148742176
451,304.98,65.86,504.93,37.61,19.34,79.93755454210597
452,519.14,75.88,508.54,38.76,18.17,80.71062602768797
453,552.48,61.77,472.53,37.27,19.99,81.10977756790848
454,294.6,64.7,465.8,26.83,21.87,78.84750530983965
455,458.81,65.05,468.79,30.32,19.92,78.72568285342443
456,442.59,64.02,473.26,34.16,20.23,79.92079902767522
457,389.2,66.37,467.75,36.57,22.49,82.34454951412948
458,492.9,64.18,503.19,30.89,20.42,81.34202169816612
459,463.58,68.0,557.1,36.5,17.01,80.76940247270264
460,505.58,64.75,532.24,33.8,18.59,81.25271682436406
461,460.39,63.06,472.57,30.22,19.99,78.98135742992491
462,317.47,72.69,533.85,19.6,20.48,79.2343062813419
463,518.51,63.58,488.63,38.7,18.89,80.5891708244651
